Feature,Importance
Produksi Kangkung (kuintal) (Kw),0.10204081632653064
Produksi Terung (kuintal) (Kw),0.10204081632653064
Produksi Bawang Merah (kuintal) (Kw),0.09183673469387757
Produksi Cabai Rawit (kuintal) (Kw),0.09183673469387757
Indeks_Ketahanan_Pangan,0.09183673469387757
Produksi Petsai/Sawi (kuintal) (Kw),0.0816326530612245
Produksi Bayam (kuintal) (Kw),0.0816326530612245
Produksi Melon (kuintal) (Kw),0.07142857142857144
Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),0.07142857142857144
Produksi Kacang Panjang (kuintal) (Kw),0.06122448979591838
Produksi Labu Siam (kuintal) (Kw),0.05102040816326532
Produksi Cabai Keriting(kuintal) (Kw),0.05102040816326532
Produksi Tomat (kuintal) (Kw),0.05102040816326532
Jumlah_Komoditas,0.0
Total_Ekspor_Potensial,0.0
